Desc	Publish Date	Currency	Price	Año	Color	Tipo de combustible	Puertas	Transmisión	Motor	Tipo de carrocería	Kilómetros	Codigo	Seller Type	Reputation Code	Brand	Model	Loc1	Loc2	Loc3
Renault Clio 1.2 Mio Confort Pack	2020-11-30	$	690000	2016	Negro	Nafta	3	Manual	1.2	Hatchback	58000	MLA899464224	normal	none	Renault	Clio	Mendoza	Luján de Cuyo	Luján de Cuyo
Renault Clio 1.2 Mio Confort Pack	2020-11-12	$	699000	2016	Gris	Nafta	3	Manual	1.2	Hatchback	52000	MLA900663487	car_dealer	none	Renault	Clio	Córdoba	Córdoba	20 de Junio
Renault Clio 1.2 Mío Authentique Pack Abs Abcp	2020-08-11	$	680000	2015	Azul	Nafta	3	Manual	1.2	Hatchback	46500	MLA896254630	normal	none	Renault	Clio	Capital Federal	Capital Federal	Agronomía
Renault Clio 1.2 Mio Confort Plus Abs Abcp	2020-11-12	$	607000	2014		Nafta	5	Manual	1.2	Hatchback	132000	MLA900673969	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Escobar	none
Renault Clio 1.2 Mio Confort Plus Abs Abcp	2020-11-23	$	605000	2014		Nafta	5	Manual	1.2	Hatchback	93300	MLA898455991	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	San Miguel	none
Renault Clio 1.2 Authentique Aa Da	2020-12-16	$	430000	2006		Nafta	3	Manual	1.2	Hatchback	170000	MLA901352687	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Florencio Varela	none
Renault Clio 1.2 Authentique Pack I 75cv	2019-08-14	$	595500	2012		Nafta	3	Manual	1.2	Hatchback	32116	MLA886555044	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mio Confort Plus Abc	2020-10-27	$	540000	2014		Nafta	5	Manual	1.2	Hatchback	93000	MLA885734654	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Moreno	none
Renault Clio 1.2 Campus Pack Ii 75cv	2020-07-11	$	525000	2012	Rojo	Nafta	3	Manual	1.2	Hatchback	100000	MLA896209485	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Moreno	Moreno
Renault Clio Mio Gt Line 	2020-11-11	$	680000	2014	Blanco	Nafta	3	Manual	1.2		78000	MLA896806851	normal	none	Renault	Clio	Mendoza	Maipú	Maipú
Renault Clio 1.2 Mio Confort Plus Abc	2020-10-27	$	590000	2014		Nafta	5	Manual	1.2	Hatchback	90000	MLA885728171	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	none
